rank,config,train_sharpe,val_sharpe,gap,stopped_epoch,time_s
167,Bottle n=5 e=16 do=0.3 wd=0.05,3.6051,2.6819,0.9232,112,0.29
168,"Deep h=8,4 do=0.3 wd=0.2 lr=0.005",2.8735,2.6739,0.1996,81,0.15
169,"Deep h=16,4 do=0.5 wd=0.1 lr=0.02",2.7715,2.6661,0.1054,81,0.16
170,"Deep h=12,6 do=0.6 wd=0.3 lr=0.02",2.8104,2.6649,0.1455,94,0.18
171,Shallow h=12 do=0.7 wd=0.1,3.9004,2.6579,1.2425,189,0.2
172,Bottle n=4 e=20 do=0.3 wd=0.05,2.714,2.6407,0.0733,81,0.22
173,"Deep h=16,4 do=0.4 wd=0.1 lr=0.005",2.9406,2.6333,0.3072,101,0.19
174,Shallow h=12 do=0.6 wd=0.1,4.5754,2.6297,1.9457,217,0.23
175,Shallow h=8 do=0.7 wd=0.15,2.3286,2.6286,-0.3,81,0.08
176,Bottle n=4 e=12 do=0.3 wd=0.05,0.5117,2.6265,-2.1148,81,0.21
177,"Deep h=8,4 do=0.5 wd=0.15 lr=0.01",2.7046,2.6249,0.0797,85,0.16
178,"Deep h=16,8 do=0.6 wd=0.2 lr=0.005",2.6102,2.6045,0.0058,81,0.15
179,Shallow h=12 do=0.5 wd=0.2,4.2939,2.5985,1.6954,245,0.26
180,Shallow h=8 do=0.5 wd=0.1,4.3254,2.598,1.7274,227,0.23
181,Shallow h=12 do=0.6 wd=0.2,4.0864,2.591,1.4953,259,0.27
182,"Deep h=8,4 do=0.5 wd=0.3 lr=0.005",2.9426,2.5806,0.362,110,0.21
183,"Deep h=20,10 do=0.5 wd=0.15 lr=0.005",3.7901,2.5635,1.2266,242,0.51
184,Bottle n=6 e=12 do=0.4 wd=0.1,2.8252,2.5632,0.2619,81,0.18
185,Shallow h=16 do=0.5 wd=0.15,4.2321,2.5465,1.6856,157,0.17
186,"Deep h=16,8 do=0.3 wd=0.2 lr=0.01",2.8342,2.5395,0.2947,82,0.15
